canonical_security_id,stock_code,name_cn,name_en,shanghai_connect,shenzhen_connect,eligibility_status
HKEX:01038,01038,长江基建集团,CKI HOLDINGS,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01044,01044,恒安国际,HENGAN INT'L,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01052,01052,越秀交通基建,YUEXIUTRANSPORT,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01053,01053,重庆钢铁股份,CHONGQING IRON,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01055,01055,中国南方航空股份,CHINA SOUTH AIR,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01057,01057,浙江世宝,ZHEJIANG SHIBAO,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01060,01060,大麦娱乐,DAMAI ENT,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01065,01065,天津创业环保股份,TIANJIN CAPITAL,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01066,01066,威高股份,WEIGAO GROUP,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01070,01070,ＴＣＬ电子,TCL ELECTRONICS,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01071,01071,华电国际电力股份,HUADIAN POWER,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01072,01072,东方电气,DONGFANG ELEC,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01081,01081,大金重工,DAJIN,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01083,01083,港华智慧能源,TG SMART ENERGY,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01088,01088,中国神华,CHINA SHENHUA,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01093,01093,石药集团,CSPC PHARMA,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01099,01099,国药控股,SINOPHARM,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01108,01108,凯盛新能,TRIUMPH NEW EN,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01109,01109,华润置地,CHINA RES LAND,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01112,01112,Ｈ＆Ｈ国际控股,H&H INTL HLDG,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01113,01113,长实集团,CK ASSET,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01114,01114,,BRILLIANCE CHI,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01117,01117,现代牧业,CH MODERN D,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01128,01128,永利澳门,WYNN MACAU,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01138,01138,中远海能,COSCO SHIP ENGY,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01157,01157,中联重科,ZOOMLION,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01164,01164,中广核矿业,CGN MINING,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01171,01171,兖矿能源,YANKUANG ENERGY,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01177,01177,中国生物制药,SBP GROUP,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01186,01186,中国铁建,CHINA RAIL CONS,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01187,01187,可孚医疗,COFOE MEDICAL,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01193,01193,华润燃气,CHINA RES GAS,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01196,01196,伟禄科技股份,REALORD TECH,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01199,01199,中远海运港口,COSCO SHIP PORT,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01208,01208,五矿资源,MMG,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01209,01209,华润万象生活,CHINA RES MIXC,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01211,01211,比亚迪股份,BYD COMPANY,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01258,01258,中国有色矿业,CHINFMINING,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01276,01276,恒瑞医药,HENGRUI PHARMA,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01277,01277,力量发展,KINETIC DEV,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01288,01288,农业银行,ABC,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01299,01299,友邦保险,AIA,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01302,01302,先健科技,LIFETECH SCI,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01304,01304,,FORTIOR,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01308,01308,海丰国际,SITC,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01310,01310,香港宽频,HKBN,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01313,01313,华润建材科技,CR BLDG MAT TEC,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01316,01316,耐世特,NEXTEER,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01318,01318,毛戈平,MAO GEPING,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01330,01330,绿色动力环保,DYNAGREEN ENV,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01333,01333,博雷顿,BRETON,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01336,01336,新华保险,NCI,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01339,01339,中国人民保险集团,PICC GROUP,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01347,01347,华虹宏力,HUA HONG GRACE,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01349,01349,复旦张江,FUDANZHANGJIANG,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01357,01357,美图公司,MEITU,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01359,01359,中国信达,CHINA CINDA,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01361,01361,３６１度,361 DEGREES,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01364,01364,古茗,GUMING,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01368,01368,特步国际,XTEP INT'L,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01375,01375,中州证券,CC SECURITIES,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01377,01377,鼎泰高科,DTECH,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01378,01378,中国宏桥,CHINAHONGQIAO,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01384,01384,滴普科技,DEEPEXI TECH,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01385,01385,上海复旦,SHANGHAI FUDAN,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01398,01398,工商银行,ICBC,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01405,01405,达势股份,DPC DASH,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01415,01415,高伟电子,COWELL,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01428,01428,耀才证券金融,BRIGHT SMART,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01456,01456,国联民生,GLMS SEC,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01475,01475,日清食品,NISSIN FOODS,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01478,01478,丘钛科技,Q TECH,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01513,01513,丽珠医药,LIVZON PHARMA,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01519,01519,极兔速递－Ｗ,J&T EXPRESS-W,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01528,01528,红星美凯龙,RS MACALLINE,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01530,01530,三生制药,3SBIO,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01548,01548,金斯瑞生物科技,GENSCRIPT BIO,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01579,01579,颐海国际,YIHAI INTL,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01585,01585,雅迪控股,YADEA,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01610,01610,中粮家佳康,COFCO JOYCOME,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01618,01618,中国中冶,MCC,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01635,01635,大众公用,DZUG,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01658,01658,邮储银行,PSBC,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01675,01675,亚信科技,ASIAINFO TECH,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01681,01681,康臣药业,CONSUN PHARMA,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01686,01686,新意网集团,SUNEVISION,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01688,01688,领益智造,LINGYI ITECH,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01691,01691,ＪＳ环球生活,JS GLOBAL LIFE,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01729,01729,汇聚科技,TIME INTERCON,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01735,01735,中环新能源,CENTRAL NEW EGY,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01766,01766,中国中车,CRRC,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01768,01768,鸣鸣很忙,BUSYMING,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01772,01772,赣锋锂业,GANFENGLITHIUM,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01773,01773,天立国际控股,TIANLI INT HLDG,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01776,01776,广发证券,GF SEC,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01783,01783,晋景新能,ENVISION GREEN,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01787,01787,山东黄金,SD GOLD,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01788,01788,国泰君安国际,GUOTAI JUNAN I,True,True,BUY_AND_SELL_ELIGIBLE
HKEX:01789,01789,爱康医疗,AK MEDICAL,True,True,BUY_AND_SELL_ELIGIBLE
