security_id,security_code,security_name,workplan_lane,gap_id,priority,candidate_route_blocked,trade_authority
601899.SH,601899,紫金矿业,CORE20_MANDATORY_REVIEW,LATEST_PRIMARY_FILINGS_REQUIRED,P0,True,NONE
601899.SH,601899,紫金矿业,CORE20_MANDATORY_REVIEW,OWNER_AND_COMPETITIVE_POSITION_REQUIRED,P0,True,NONE
601899.SH,601899,紫金矿业,CORE20_MANDATORY_REVIEW,PORTFOLIO_ROLE_ETF_ALTERNATIVE_REQUIRED,P0,True,NONE
601899.SH,601899,紫金矿业,CORE20_MANDATORY_REVIEW,SOURCE_BACKED_BUSINESS_MODEL_REQUIRED,P0,True,NONE
601899.SH,601899,紫金矿业,CORE20_MANDATORY_REVIEW,THESIS_FALSIFIER_CATALYST_REQUIRED,P0,True,NONE
601985.SH,601985,中国核电,CORE20_MANDATORY_REVIEW,INDUSTRY_PEER_REVIEW_REQUIRED,P0,True,NONE
601985.SH,601985,中国核电,CORE20_MANDATORY_REVIEW,LATEST_PRIMARY_FILINGS_REQUIRED,P0,True,NONE
601985.SH,601985,中国核电,CORE20_MANDATORY_REVIEW,OWNER_AND_COMPETITIVE_POSITION_REQUIRED,P0,True,NONE
601985.SH,601985,中国核电,CORE20_MANDATORY_REVIEW,SOURCE_BACKED_BUSINESS_MODEL_REQUIRED,P0,True,NONE
603379.SH,603379,三美股份,A_DEEP_DIVE,BENCHMARK_REQUIRED,P0,True,NONE
603379.SH,603379,三美股份,A_DEEP_DIVE,INDUSTRY_PEER_REVIEW_REQUIRED,P0,True,NONE
603379.SH,603379,三美股份,A_DEEP_DIVE,LATEST_PRIMARY_FILINGS_REQUIRED,P0,True,NONE
603379.SH,603379,三美股份,A_DEEP_DIVE,OWNER_AND_COMPETITIVE_POSITION_REQUIRED,P0,True,NONE
603379.SH,603379,三美股份,A_DEEP_DIVE,SOURCE_BACKED_BUSINESS_MODEL_REQUIRED,P0,True,NONE
603379.SH,603379,三美股份,A_DEEP_DIVE,THESIS_FALSIFIER_CATALYST_REQUIRED,P0,True,NONE
603444.SH,603444,吉比特,A_DEEP_DIVE,BENCHMARK_REQUIRED,P0,True,NONE
603444.SH,603444,吉比特,A_DEEP_DIVE,INDUSTRY_PEER_REVIEW_REQUIRED,P0,True,NONE
603444.SH,603444,吉比特,A_DEEP_DIVE,LATEST_PRIMARY_FILINGS_REQUIRED,P0,True,NONE
603444.SH,603444,吉比特,A_DEEP_DIVE,OWNER_AND_COMPETITIVE_POSITION_REQUIRED,P0,True,NONE
603444.SH,603444,吉比特,A_DEEP_DIVE,SOURCE_BACKED_BUSINESS_MODEL_REQUIRED,P0,True,NONE
603444.SH,603444,吉比特,A_DEEP_DIVE,THESIS_FALSIFIER_CATALYST_REQUIRED,P0,True,NONE
688002.SH,688002,睿创微纳,A_DEEP_DIVE,BENCHMARK_REQUIRED,P0,True,NONE
688002.SH,688002,睿创微纳,A_DEEP_DIVE,INDUSTRY_PEER_REVIEW_REQUIRED,P0,True,NONE
688002.SH,688002,睿创微纳,A_DEEP_DIVE,LATEST_PRIMARY_FILINGS_REQUIRED,P0,True,NONE
688002.SH,688002,睿创微纳,A_DEEP_DIVE,OWNER_AND_COMPETITIVE_POSITION_REQUIRED,P0,True,NONE
688002.SH,688002,睿创微纳,A_DEEP_DIVE,SOURCE_BACKED_BUSINESS_MODEL_REQUIRED,P0,True,NONE
