source_id,source_name,source_type,owner_or_provider,period_covered,as_of_date,retrieved_at,file_tab_page_url_or_location,source_rank,freshness_status,notes,trade_authority,route_id,statement,status
SRC-EASTMONEY_STATEMENTS-601318-BALANCE_SHEET,EASTMONEY_STATEMENTS balance_sheet 601318.SH,provider_export,Eastmoney,provider-returned-history,2026-07-18,2026-07-18T12:54:11+08:00,akshare.stock_balance_sheet_by_report_em,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER,current,route_id=EASTMONEY_STATEMENTS; status=SUCCESS; rows=82; cols=253; elapsed=4.025; error=,NONE,EASTMONEY_STATEMENTS,balance_sheet,SUCCESS
SRC-EASTMONEY_STATEMENTS-601318-INCOME_STATEMENT,EASTMONEY_STATEMENTS income_statement 601318.SH,provider_export,Eastmoney,provider-returned-history,2026-07-18,2026-07-18T12:54:15+08:00,akshare.stock_profit_sheet_by_report_em,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER,current,route_id=EASTMONEY_STATEMENTS; status=SUCCESS; rows=83; cols=203; elapsed=3.5216; error=,NONE,EASTMONEY_STATEMENTS,income_statement,SUCCESS
SRC-EASTMONEY_STATEMENTS-601318-CASH_FLOW,EASTMONEY_STATEMENTS cash_flow 601318.SH,provider_export,Eastmoney,provider-returned-history,2026-07-18,2026-07-18T12:54:24+08:00,akshare.stock_cash_flow_sheet_by_report_em,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER,current,route_id=EASTMONEY_STATEMENTS; status=SUCCESS; rows=83; cols=256; elapsed=9.125; error=,NONE,EASTMONEY_STATEMENTS,cash_flow,SUCCESS
SRC-SINA_STATEMENTS-601318-BALANCE_SHEET,SINA_STATEMENTS balance_sheet 601318.SH,provider_export,Sina,provider-returned-history,2026-07-18,2026-07-18T12:54:26+08:00,akshare.stock_financial_report_sina,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER_FALLBACK,current,route_id=SINA_STATEMENTS; status=SUCCESS; rows=88; cols=134; elapsed=1.9658; error=,NONE,SINA_STATEMENTS,balance_sheet,SUCCESS
SRC-SINA_STATEMENTS-601318-INCOME_STATEMENT,SINA_STATEMENTS income_statement 601318.SH,provider_export,Sina,provider-returned-history,2026-07-18,2026-07-18T12:54:28+08:00,akshare.stock_financial_report_sina,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER_FALLBACK,current,route_id=SINA_STATEMENTS; status=SUCCESS; rows=89; cols=83; elapsed=1.8063; error=,NONE,SINA_STATEMENTS,income_statement,SUCCESS
SRC-SINA_STATEMENTS-601318-CASH_FLOW,SINA_STATEMENTS cash_flow 601318.SH,provider_export,Sina,provider-returned-history,2026-07-18,2026-07-18T12:54:30+08:00,akshare.stock_financial_report_sina,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER_FALLBACK,current,route_id=SINA_STATEMENTS; status=SUCCESS; rows=85; cols=80; elapsed=1.7091; error=,NONE,SINA_STATEMENTS,cash_flow,SUCCESS
SRC-CNINFO-600036,CNINFO periodic reports for 600036.SH,filing,CNINFO,20240101-20260718,20260718,2026-07-18T12:54:00+08:00,akshare.stock_zh_a_disclosure_report_cninfo,REGULATORY_OR_EXCHANGE_STRUCTURED_DISCLOSURE,current,status=SUCCESS; rows=51; error=,NONE,,,
SRC-EASTMONEY_STATEMENTS-600036-BALANCE_SHEET,EASTMONEY_STATEMENTS balance_sheet 600036.SH,provider_export,Eastmoney,provider-returned-history,2026-07-18,2026-07-18T12:54:04+08:00,akshare.stock_balance_sheet_by_report_em,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER,current,route_id=EASTMONEY_STATEMENTS; status=SUCCESS; rows=100; cols=221; elapsed=4.3354; error=,NONE,EASTMONEY_STATEMENTS,balance_sheet,SUCCESS
SRC-EASTMONEY_STATEMENTS-600036-INCOME_STATEMENT,EASTMONEY_STATEMENTS income_statement 600036.SH,provider_export,Eastmoney,provider-returned-history,2026-07-18,2026-07-18T12:54:15+08:00,akshare.stock_profit_sheet_by_report_em,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER,current,route_id=EASTMONEY_STATEMENTS; status=SUCCESS; rows=101; cols=170; elapsed=11.0243; error=,NONE,EASTMONEY_STATEMENTS,income_statement,SUCCESS
SRC-EASTMONEY_STATEMENTS-600036-CASH_FLOW,EASTMONEY_STATEMENTS cash_flow 600036.SH,provider_export,Eastmoney,provider-returned-history,2026-07-18,2026-07-18T12:54:28+08:00,akshare.stock_cash_flow_sheet_by_report_em,AUDITABLE_STANDARDIZED_PUBLIC_PROVIDER,current,route_id=EASTMONEY_STATEMENTS; status=SUCCESS; rows=96; cols=316; elapsed=13.0811; error=,NONE,EASTMONEY_STATEMENTS,cash_flow,SUCCESS
