security_id,stock_code_5d,review_type,evidence_status,detail
HKEX:01772,01772,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
HKEX:01776,01776,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
HKEX:01787,01787,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
HKEX:01800,01800,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
HKEX:01816,01816,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
HKEX:01858,01858,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
HKEX:01877,01877,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
HKEX:01880,01880,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
HKEX:01919,01919,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
HKEX:01963,01963,MAINLAND_A_SHARE_TICKER_MAPPING,REVIEW_REQUIRED,HKEX_DI_CONFIRMS_A_SHARE_CLASS_BUT_MAINLAND_TICKER_REQUIRES_SSE_OR_SZSE_EVIDENCE
