security_id,issuer_id,stock_code_5d,mapping_status,mapping_basis
HKEX:00857,HKEX-ISSUER:44b23d4de36fd665,00857,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00867,HKEX-ISSUER:faad3d2cc06c9259,00867,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00868,HKEX-ISSUER:2370ea76d6012d48,00868,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00874,HKEX-ISSUER:2114a42529babd89,00874,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00880,HKEX-ISSUER:da371406e11a7750,00880,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00881,HKEX-ISSUER:d42384b337683355,00881,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00883,HKEX-ISSUER:7b6bcc6a4e43931d,00883,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00895,HKEX-ISSUER:01e6e54d5a389886,00895,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00902,HKEX-ISSUER:c3da3360e1f9f420,00902,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00909,HKEX-ISSUER:e4939a06c4fdfd8c,00909,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00914,HKEX-ISSUER:ba7fcb4352969703,00914,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00916,HKEX-ISSUER:c2129333f5287071,00916,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00917,HKEX-ISSUER:bd0d2e9120188af6,00917,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00921,HKEX-ISSUER:e10e9beea723eda9,00921,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00934,HKEX-ISSUER:a211431de1d18e35,00934,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00939,HKEX-ISSUER:6bc07b9cb337b46e,00939,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00941,HKEX-ISSUER:a623fdfae00ef65b,00941,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00956,HKEX-ISSUER:e04ca552c1423794,00956,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00960,HKEX-ISSUER:709541410394eb9e,00960,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00966,HKEX-ISSUER:cb5aacfd958d46aa,00966,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00968,HKEX-ISSUER:7dc88461b9d4225f,00968,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00975,HKEX-ISSUER:0c147c34e966aaee,00975,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00981,HKEX-ISSUER:ab419773dd084744,00981,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00990,HKEX-ISSUER:96a458826be77c46,00990,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00991,HKEX-ISSUER:e8d494903f806606,00991,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00992,HKEX-ISSUER:c10ccfd77ca329ef,00992,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00995,HKEX-ISSUER:ada29d49b40b3edd,00995,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00998,HKEX-ISSUER:9808c8ad2245e8ce,00998,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:00999,HKEX-ISSUER:6e44cec169ae8ea6,00999,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:01024,HKEX-ISSUER:e71140f2287a2b7b,01024,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:01030,HKEX-ISSUER:b0b3cb94f10e3cc8,01030,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:01033,HKEX-ISSUER:3ed2a3277abab7e4,01033,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:01038,HKEX-ISSUER:f4bbd8065c296038,01038,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:01044,HKEX-ISSUER:8453b49c19912561,01044,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:01052,HKEX-ISSUER:4c8918b20d3bc263,01052,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:01053,HKEX-ISSUER:53581a1a70d9aef7,01053,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:01055,HKEX-ISSUER:d98f5adbea442579,01055,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
HKEX:01057,HKEX-ISSUER:79650ed12626d04f,01057,CONFIRMED,HKEX_DI_STOCK_CODE_CONFIRMED
