statement,source_item_code,source_item_name,occurrence_count
cash_flow,001013,公司及附属公司之EBITDA,3
balance_sheet,003002007,预缴及应收税项,3
income_statement,002027004,每股股息,3
balance_sheet,003007022,可转换票据及债券(流动),3
balance_sheet,004011020,递延税项负债(流动),3
balance_sheet,001009003,股本溢价,2
balance_sheet,004030007,重估储备,2
income_statement,003010002,出售资产之溢利,2
balance_sheet,004030016,优先股,2
income_statement,004027004,每股股息,1
balance_sheet,004003001,资产其他项目,1
balance_sheet,004021001,负债其他项目,1
balance_sheet,001009997,归属于母公司股东权益其他项目,1
balance_sheet,002010001,其他权益,1
