security_code,security_name,exchange,market_data_readiness,eligibility_reason,field_completeness_count,last_price,volume,turnover_amount,total_market_cap,investment_quality_status,valuation_status,thesis_status,entry_baseline_status,candidate_admission_authority,research_priority_basis,workload_priority_rank
300308,中际旭创,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,1046.51,21687683.0,22937320044.0,116710420.41529,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,1
603986,兆易创新,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,457.0,50554262.0,22860531230.0,32069748.0538,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,2
002156,通富微电,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,76.64,263409653.0,19817875818.0,11630862.733568,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,3
300502,新易盛,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,476.02,33697379.0,16318973785.0,66369406.671768,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,4
000938,紫光股份,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,41.45,360537121.0,15218589534.0,11855031.07773,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,5
002384,东山精密,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,199.18,72822591.0,14607684920.0,36481958.822376,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,6
600584,长电科技,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,82.9,172161393.0,14208029489.0,14834246.7853,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,7
688008,澜起科技,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,233.66,59450624.0,13789725783.0,28519091.398686,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,8
601899,紫金矿业,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,31.51,401039285.0,12602496385.0,83787341.773922,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,9
002371,北方华创,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,757.0,15862082.0,12020960458.0,54934672.44,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK,10
