security_code,security_name,exchange,market_data_readiness,eligibility_reason,field_completeness_count,last_price,volume,turnover_amount,total_market_cap,investment_quality_status,valuation_status,thesis_status,entry_baseline_status,candidate_admission_authority,research_priority_basis
301116,益客食品,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,8.08,3246500.0,26552312.0,362775.511144,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
920639,晨光电缆,BSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,5.91,4376373.0,26522366.0,119145.6,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
301163,宏德股份,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,20.04,1322300.0,26505314.0,163526.4,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
002614,奥佳华,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,4.43,5925800.0,26505023.0,276316.467372,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
603721,中广天择,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,14.4,1822900.0,26491037.0,187200.0,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
301335,天元宠物,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,19.4,1333750.0,26486283.0,247927.926,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
301383,天键股份,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,19.36,1358920.0,26485444.0,316115.888,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
300021,大禹节水,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,3.66,7181500.0,26481038.0,374186.493654,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
300813,泰林生物,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,17.08,1540810.0,26477256.0,207008.266052,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
920403,康农种业,BSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,16.87,1554306.0,26464350.0,184384.356156,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
603898,好莱客,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,10.51,2518900.0,26456773.0,315541.185582,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
600243,*ST海华,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,3.01,8475600.0,26442887.0,132093.85,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
603291,联合水务,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,7.72,3382137.0,26413143.0,326726.306288,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
603535,嘉诚国际,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,5.79,4511498.0,26358903.0,295821.713649,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
603518,锦泓集团,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,7.37,3558950.0,26358464.0,254524.412208,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
920062,科润智控,BSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,7.29,3528196.0,26357707.0,137566.875933,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
300977,深圳瑞捷,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,13.79,1920300.0,26336307.0,209920.656533,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
300787,海能实业,SZSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,7.54,3461318.0,26321253.0,236328.49708,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
603677,奇精机械,SSE,ELIGIBLE_FOR_RESEARCH_TRIAGE,PASS,4,12.32,2107300.0,26274606.0,237284.26568,NOT_EVALUATED,NOT_EVALUATED,NOT_CREATED,MISSING,False,DATA_READINESS_AND_LIQUIDITY_ONLY_NOT_INVESTMENT_RANK
