security_id,issuer_id,stock_code_5d,ticker_hk,name_zh,name_en,display_name,display_name_source,market,country_of_listing,trading_currency,security_type,identity_status,semantic_enrichment_status,shanghai_connect,shenzhen_connect,eligibility_status,source_release_id
HKEX:00083,HKISSUER-PROVISIONAL:00083,00083,00083.HK,信和置业,SINO LAND,信和置业,OFFICIAL_CHINESE_NAME,HKEX,HK,HKD,UNKNOWN,PROVISIONAL_SECURITY_LEVEL_IDENTITY,PENDING_SEMANTIC_ENRICHMENT,True,True,BUY_AND_SELL_ELIGIBLE,FMDL5A_20260720_031b3430a7d0
HKEX:00087,HKISSUER-PROVISIONAL:00087,00087,00087.HK,太古股份公司Ｂ,SWIRE PACIFIC B,太古股份公司Ｂ,OFFICIAL_CHINESE_NAME,HKEX,HK,HKD,UNKNOWN,PROVISIONAL_SECURITY_LEVEL_IDENTITY,PENDING_SEMANTIC_ENRICHMENT,True,True,BUY_AND_SELL_ELIGIBLE,FMDL5A_20260720_031b3430a7d0
HKEX:00101,HKISSUER-PROVISIONAL:00101,00101,00101.HK,恒隆地产,HANG LUNG PPT,恒隆地产,OFFICIAL_CHINESE_NAME,HKEX,HK,HKD,UNKNOWN,PROVISIONAL_SECURITY_LEVEL_IDENTITY,PENDING_SEMANTIC_ENRICHMENT,True,True,BUY_AND_SELL_ELIGIBLE,FMDL5A_20260720_031b3430a7d0
HKEX:00107,HKISSUER-PROVISIONAL:00107,00107,00107.HK,四川成渝高速公路,SICHUAN EXPRESS,四川成渝高速公路,OFFICIAL_CHINESE_NAME,HKEX,HK,HKD,UNKNOWN,PROVISIONAL_SECURITY_LEVEL_IDENTITY,PENDING_SEMANTIC_ENRICHMENT,True,True,BUY_AND_SELL_ELIGIBLE,FMDL5A_20260720_031b3430a7d0
HKEX:00119,HKISSUER-PROVISIONAL:00119,00119,00119.HK,保利置业集团,POLY PROPERTY,保利置业集团,OFFICIAL_CHINESE_NAME,HKEX,HK,HKD,UNKNOWN,PROVISIONAL_SECURITY_LEVEL_IDENTITY,PENDING_SEMANTIC_ENRICHMENT,True,True,BUY_AND_SELL_ELIGIBLE,FMDL5A_20260720_031b3430a7d0
HKEX:00123,HKISSUER-PROVISIONAL:00123,00123,00123.HK,越秀地产,YUEXIU PROPERTY,越秀地产,OFFICIAL_CHINESE_NAME,HKEX,HK,HKD,UNKNOWN,PROVISIONAL_SECURITY_LEVEL_IDENTITY,PENDING_SEMANTIC_ENRICHMENT,True,True,BUY_AND_SELL_ELIGIBLE,FMDL5A_20260720_031b3430a7d0
HKEX:00135,HKISSUER-PROVISIONAL:00135,00135,00135.HK,昆仑能源,KUNLUN ENERGY,昆仑能源,OFFICIAL_CHINESE_NAME,HKEX,HK,HKD,UNKNOWN,PROVISIONAL_SECURITY_LEVEL_IDENTITY,PENDING_SEMANTIC_ENRICHMENT,True,True,BUY_AND_SELL_ELIGIBLE,FMDL5A_20260720_031b3430a7d0
HKEX:00136,HKISSUER-PROVISIONAL:00136,00136,00136.HK,中国儒意,CHINA RUYI,中国儒意,OFFICIAL_CHINESE_NAME,HKEX,HK,HKD,UNKNOWN,PROVISIONAL_SECURITY_LEVEL_IDENTITY,PENDING_SEMANTIC_ENRICHMENT,True,True,BUY_AND_SELL_ELIGIBLE,FMDL5A_20260720_031b3430a7d0
HKEX:00142,HKISSUER-PROVISIONAL:00142,00142,00142.HK,第一太平,FIRST PACIFIC,第一太平,OFFICIAL_CHINESE_NAME,HKEX,HK,HKD,UNKNOWN,PROVISIONAL_SECURITY_LEVEL_IDENTITY,PENDING_SEMANTIC_ENRICHMENT,True,True,BUY_AND_SELL_ELIGIBLE,FMDL5A_20260720_031b3430a7d0
HKEX:00144,HKISSUER-PROVISIONAL:00144,00144,00144.HK,招商局港口,CHINA MER PORT,招商局港口,OFFICIAL_CHINESE_NAME,HKEX,HK,HKD,UNKNOWN,PROVISIONAL_SECURITY_LEVEL_IDENTITY,PENDING_SEMANTIC_ENRICHMENT,True,True,BUY_AND_SELL_ELIGIBLE,FMDL5A_20260720_031b3430a7d0
HKEX:00148,HKISSUER-PROVISIONAL:00148,00148,00148.HK,建滔集团,KINGBOARD HLDG,建滔集团,OFFICIAL_CHINESE_NAME,HKEX,HK,HKD,UNKNOWN,PROVISIONAL_SECURITY_LEVEL_IDENTITY,PENDING_SEMANTIC_ENRICHMENT,True,True,BUY_AND_SELL_ELIGIBLE,FMDL5A_20260720_031b3430a7d0
HKEX:00151,HKISSUER-PROVISIONAL:00151,00151,00151.HK,中国旺旺,WANT WANT CHINA,中国旺旺,OFFICIAL_CHINESE_NAME,HKEX,HK,HKD,UNKNOWN,PROVISIONAL_SECURITY_LEVEL_IDENTITY,PENDING_SEMANTIC_ENRICHMENT,True,True,BUY_AND_SELL_ELIGIBLE,FMDL5A_20260720_031b3430a7d0
